rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
1,b,1,326.03,19.4,,FALSE,185.179276,17.792868,4.74,4742,2.7,19
2,b,1,516.22,10.5,,FALSE,229.274536,71.823898,5.016,4340,1.8,24.08
3,b,1,185.84,4.8,,FALSE,352.822571,39.236198,,4813,2.2,11
4,b,1,1773.4,4.64,,FALSE,242.601303,43.817646,6.61,5311,0.9,
5,b,1,798.5,1.68,,FALSE,295.466553,50.517525,6.25,5674,0.99,
6,b,1,993.3,10.3,,FALSE,314.608063,10.839286,,4979,2.3,8.5
7,b,1,,8,,FALSE,242.376268,-21.083036,,4060,0.85,
8,b,2,452.8,1.99,,FALSE,155.86821,-0.902244,6.441,5098,1.54,4.9
9,c,2,883,0.86,,FALSE,155.86821,-0.902244,6.441,5098,1.54,4.9
10,b,1,,24.5,,FALSE,20.712243,-24.664049,14.24,3530,0.4,
11,b,1,,13.9,1.44,FALSE,34.842106,-39.422928,,3064,0.11,0.28
12,b,1,,7.5,,FALSE,70.437073,23.030941,,,0.02,
13,b,1,,4,,FALSE,181.889447,-39.548332,20.15,,0.02,
14,b,1,416,1.9,,FALSE,294.635865,46.066418,12.264,,0.48,
15,b,1,7336.5,20.95,0.92,FALSE,325.122159,16.421759,,2300,0.08,0.12
16,b,1,335.1,9.88,,FALSE,39.240585,24.648064,,6300,1.16,1.13
17,b,1,269.3,7.1,,FALSE,130.053406,64.327934,4.61,4415,1.23,18.11
18,b,1,479.1,3.88,,FALSE,276.496399,65.563484,4.82,4200,0.98,22.03
19,b,3,1078,2.53,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
20,c,3,2391,0.54,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
21,d,3,14002,1.64,,FALSE,164.866562,40.430256,5.05,5892,1.03,1.23
22,b,1,,2,,FALSE,69.400551,-2.473548,5.23,,1.75,
23,b,1,4.230785,0.472,,FALSE,344.366577,20.768833,5.5,5793,1.12,1.2
24,b,5,14.65152,0.8306,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
25,c,5,44.4175,0.1714,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
26,d,5,4825,3.878,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
27,e,5,0.736539,0.02542,0.17,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
28,f,5,262,0.141,,FALSE,133.149216,28.330818,5.96,5196,0.91,0.94
29,b,1,874.774,2.21,,FALSE,97.696281,58.162632,,4978,1.7,5.2
30,b,3,4.215,0.016,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
31,c,3,38.021,0.057,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
32,d,3,123.01,0.072,,FALSE,199.601318,-18.311195,4.74,5577,0.94,0.96
33,b,1,796,2.46,,FALSE,99.17099,-19.255878,3.92,4792,1.52,2.3
34,b,1,116.6926,7.4,,FALSE,202.107544,13.778788,4.98,5439,1.09,1.94
35,b,1,691.9,3,,FALSE,38.039253,-1.034896,5.35,4846,2.49,10.5
